epoch_time,temp_min,temp_max,prec
-1680512400,12.8,19.8,301.5
-1677834000,7.4,15.9,267.9
-1675242000,2.8,11.3,51.1
-1672563600,-2.5,8.4,33.0
-1669885200,-0.7,10.4,15.5
-1667466000,2.1,11.3,170.2
-1664787600,8.0,17.7,80.5
-1662195600,10.6,20.8,72.3
-1659517200,16.2,23.5,177.4
-1656925200,22.0,30.3,17.0
-1654246800,21.5,29.5,45.3
-1651568400,19.4,25.4,255.4
-1648976400,13.3,20.6,355.2
-1646298000,4.2,13.9,81.7
-1643706000,-1.2,10.4,4.4
-1641027600,-3.4,7.3,10.0
-1638349200,-0.8,8.8,64.9
-1635930000,2.6,11.6,162.9
-1633251600,7.5,16.5,107.9
-1630659600,12.0,21.4,123.2
-1627981200,17.1,23.7,148.8
-1625389200,22.5,30.2,82.2
-1622710800,22.5,30.6,78.1
-1620032400,18.8,27.2,202.5
-1617440400,12.7,20.1,134.8
-1614762000,6.5,15.1,141.6
-1612170000,0.1,8.7,79.6
-1609491600,-1.2,7.4,85.1
-1606813200,-0.1,7.9,142.4
-1604394000,3.5,13.7,93.0
-1601715600,8.2,18.6,53.5
-1599123600,11.4,21.0,90.8
-1596445200,16.0,24.2,118.6
-1593853200,20.2,27.5,177.5
-1591174800,21.5,29.3,95.5
-1588496400,19.3,26.8,248.4
-1585904400,13.0,20.9,162.8
-1583226000,8.0,15.2,178.4
-1580634000,1.2,10.5,88.2
-1577955600,-1.0,10.1,62.6
-1575277200,-0.6,6.6,111.4
-1572771600,2.5,11.0,128.3
-1570093200,8.3,17.4,194.5
-1567501200,13.2,21.3,259.6
-1564822800,17.0,24.1,218.9
-1562230800,22.5,30.6,117.9
-1559552400,23.0,29.3,325.1
-1556874000,18.2,25.5,369.8
-1554282000,12.7,21.0,240.9
-1551603600,7.9,17.0,65.9
-1549011600,1.1,10.3,98.8
-1546333200,-0.6,9.4,56.5
-1543654800,-1.2,9.2,86.2
-1541235600,1.3,11.5,99.3
-1538557200,9.5,18.7,136.8
-1535965200,12.7,20.8,269.4
-1533286800,15.6,22.5,206.5
-1530694800,21.4,28.4,209.0
-1528016400,22.2,29.2,154.7
-1525338000,18.5,24.7,448.8
-1522746000,12.0,19.5,306.4
-1520067600,3.7,16.0,4.6
-1517475600,0.4,10.4,47.0
-1514797200,-3.2,5.5,60.5
-1512118800,2.9,12.0,226.9
-1509699600,1.6,12.1,104.7
-1507021200,8.5,18.3,180.1
-1504429200,12.7,21.8,96.7
-1501750800,17.5,26.6,139.9
-1499158800,21.8,29.2,115.3
-1496480400,23.6,32.2,199.3
-1493802000,19.8,27.9,45.1
-1491210000,12.4,22.4,168.9
-1488531600,6.2,16.5,63.6
-1485939600,-1.3,9.9,10.2
-1483261200,-2.8,6.9,64.2
-1480582800,-1.0,7.6,119.8
-1478163600,3.2,13.1,107.5
-1475485200,7.4,16.9,116.1
-1472893200,13.3,20.8,192.4
-1470214800,16.8,24.0,280.9
-1467622800,20.7,27.8,168.2
-1464944400,23.6,31.7,42.2
-1462266000,20.1,28.6,259.4
-1459674000,12.9,21.3,164.0
-1456995600,7.7,16.7,138.1
-1454403600,1.2,10.7,44.6
-1451725200,-2.3,8.8,8.7
-1449046800,-0.4,9.8,68.4
-1446541200,0.0,10.2,64.2
-1443862800,10.4,19.1,170.8
-1441270800,11.9,21.9,168.3
-1438592400,15.9,23.6,114.2
-1436000400,22.3,30.8,12.9
-1433322000,22.4,30.7,185.9
-1430643600,18.2,25.9,363.2
-1428051600,11.5,19.5,260.8
-1425373200,4.6,16.1,28.4
-1422781200,0.8,10.4,29.5
-1420102800,-1.6,7.9,43.1
-1417424400,-1.8,6.9,53.5
-1415005200,0.5,12.2,33.0
-1412326800,7.1,16.8,131.6
-1409734800,10.9,21.2,109.0
-1407056400,16.5,24.2,105.3
-1404464400,19.6,27.1,128.5
-1401786000,22.6,29.7,360.5
-1399107600,19.4,26.6,359.4
-1396515600,12.3,20.7,239.6
-1393837200,6.7,16.5,100.7
-1391245200,1.4,12.6,48.3
-1388566800,-2.2,9.0,7.3
-1385888400,-0.4,9.8,50.0
-1383469200,1.0,11.2,70.6
-1380790800,4.4,17.1,101.4
-1378198800,11.6,21.0,235.5
-1375520400,14.4,23.8,134.4
-1372928400,20.9,28.9,60.8
-1370250000,22.5,30.8,84.2
-1367571600,19.9,27.3,182.4
-1364979600,10.6,19.9,95.2
-1362301200,4.9,15.6,41.3
-1359709200,-0.9,9.2,113.7
-1357030800,-2.6,8.4,20.3
-1354352400,-2.5,7.0,42.7
-1351933200,1.5,11.3,207.0
-1349254800,8.8,18.2,112.3
-1346662800,12.3,21.9,194.8
-1343984400,16.2,25.1,120.8
-1341392400,22.6,30.3,116.7
-1338714000,22.8,31.4,107.3
-1336035600,17.9,24.9,345.0
-1333443600,12.6,21.0,80.1
-1330765200,6.3,16.5,71.5
-1328173200,0.8,10.7,26.4
-1325494800,-1.0,8.8,71.7
-1322816400,-1.7,8.7,91.0
-1320310800,2.0,12.0,158.2
-1317632400,7.7,17.2,169.8
-1315040400,13.4,21.8,117.9
-1312362000,17.0,23.5,320.8
-1309770000,20.5,26.6,127.4
-1307091600,21.0,27.7,247.3
-1304413200,20.2,27.9,83.7
-1301821200,13.2,20.6,265.9
-1299142800,7.3,16.5,64.1
-1296550800,0.9,10.0,32.6
-1293872400,-2.7,8.2,1.7
-1291194000,-2.8,8.8,2.9
-1288774800,1.3,12.4,50.1
-1286096400,7.4,16.8,134.8
-1283504400,12.0,19.7,255.3
-1280826000,16.4,24.7,115.7
-1278234000,22.4,29.8,58.4
-1275555600,23.2,31.4,63.6
-1272877200,17.1,24.3,544.1
-1270285200,13.1,20.2,323.1
-1267606800,7.3,14.8,203.7
-1265014800,4.7,12.8,155.7
-1262336400,-0.3,8.4,41.4
-1259658000,1.5,9.6,108.3
-1257238800,4.4,13.0,162.1
-1254560400,9.4,18.7,149.0
-1251968400,13.4,22.2,105.2
-1249290000,17.7,25.1,123.2
-1246698000,22.9,30.0,139.3
-1244019600,23.4,30.6,51.5
-1241341200,17.4,26.2,191.9
-1238749200,12.6,21.3,255.6
-1236070800,5.7,15.6,77.7
-1233478800,1.0,10.1,71.0
-1230800400,-1.3,7.8,73.0
-1228122000,-0.9,6.4,85.3
-1225702800,2.8,13.6,83.0
-1223024400,7.4,17.5,69.7
-1220432400,11.3,21.0,244.2
-1217754000,16.7,24.3,114.9
-1215162000,19.0,25.1,193.6
-1212483600,22.8,30.4,49.0
-1209805200,19.2,26.4,228.0
-1207213200,12.3,21.0,249.1
-1204534800,7.3,15.9,107.6
-1201942800,2.3,12.1,67.1
-1199264400,1.0,11.5,38.7
-1196586000,-0.1,9.2,61.2
-1194080400,1.6,12.2,108.0
-1191402000,7.3,16.9,156.5
-1188810000,13.0,22.6,63.8
-1186131600,16.4,23.4,187.4
-1183539600,22.5,29.4,115.5
-1180861200,23.6,30.6,86.8
-1178182800,19.0,25.3,363.1
-1175590800,12.9,20.7,153.9
-1172912400,6.8,16.1,267.7
-1170320400,1.7,11.1,87.4
-1167642000,-0.6,7.6,58.4
-1164963600,-0.6,8.5,18.7
-1162544400,2.0,9.6,133.9
-1159866000,8.4,16.2,135.4
-1157274000,13.5,23.1,60.3
-1154595600,18.0,26.0,34.1
-1152003600,23.2,30.7,44.2
-1149325200,24.1,31.6,43.2
-1146646800,19.0,27.8,42.7
-1144054800,12.7,21.5,301.9
-1141376400,6.8,16.3,84.1
-1138784400,1.4,11.7,54.4
-1136106000,-2.4,8.3,18.4
-1133427600,-1.0,9.7,28.3
-1131008400,0.8,11.4,68.3
-1128330000,6.9,16.1,150.0
-1125738000,13.2,22.5,83.9
-1123059600,17.9,26.3,133.5
-1120467600,20.9,27.5,111.1
-1117789200,22.5,30.4,23.4
-1115110800,18.6,25.1,200.6
-1112518800,11.0,18.5,196.1
-1109840400,6.4,15.9,141.5
-1107248400,1.9,10.6,91.6
-1104570000,-0.8,8.9,58.6
-1101891600,0.7,9.4,110.7
