time,temp,prec
632487600,1.3,0.0
632491200,1.0,0.0
632494800,1.2,0.0
632498400,1.5,0.0
632502000,1.5,0.0
632505600,1.3,0.0
632509200,0.2,0.0
632512800,1.2,0.0
632516400,1.2,0.0
632520000,0.8,0.0
632523600,0.5,0.0
632527200,0.8,0.0
632530800,0.8,0.0
632534400,1.9,0.0
632538000,3.0,0.0
632541600,4.6,0.0
632545200,5.6,0.0
632548800,6.1,0.0
632552400,6.5,0.0
632556000,6.5,0.0
632559600,6.2,0.0
632563200,5.7,0.0
632566800,5.3,0.0
632570400,5.4,0.0
632574000,3.4,0.0
632577600,3.1,0.0
632581200,3.0,0.0
632584800,2.7,0.0
632588400,3.0,0.0
632592000,4.1,0.0
632595600,3.8,0.0
632599200,3.4,0.0
632602800,2.0,0.0
632606400,1.5,0.0
632610000,0.6,0.0
632613600,0.3,0.0
632617200,1.3,0.0
632620800,1.9,0.0
632624400,3.5,0.0
632628000,5.6,0.0
632631600,6.7,0.0
632635200,8.0,0.0
632638800,7.9,0.0
632642400,7.5,0.0
632646000,7.1,0.0
632649600,7.0,0.0
632653200,5.9,0.0
632656800,8.6,0.0
632660400,6.7,0.0
632664000,5.2,0.0
632667600,7.2,0.0
632671200,6.9,0.0
632674800,7.7,0.0
632678400,8.0,0.0
632682000,7.3,0.0
632685600,5.5,0.0
632689200,5.2,0.0
632692800,4.2,0.0
632696400,4.1,0.0
632700000,5.6,0.0
632703600,5.4,0.0
632707200,6.7,0.0
632710800,6.5,0.0
632714400,5.6,0.0
632718000,5.4,0.0
632721600,5.9,0.5
632725200,6.3,0.0
632728800,6.8,0.0
632732400,6.6,0.0
632736000,6.4,0.0
632739600,6.0,0.0
632743200,5.8,0.0
632746800,5.4,0.0
632750400,4.8,0.0
632754000,4.7,0.0
632757600,4.6,0.0
632761200,4.9,0.0
632764800,4.5,0.0
632768400,4.4,0.5
632772000,3.8,0.0
632775600,3.8,0.0
632779200,3.9,0.5
632782800,4.4,0.0
632786400,4.7,0.0
632790000,4.6,0.0
632793600,4.4,0.0
632797200,5.1,0.0
632800800,5.2,0.0
632804400,5.2,0.0
632808000,5.7,0.0
632811600,5.7,0.0
632815200,5.8,0.0
632818800,5.6,0.0
